SA2,L42,L104,Lmore,Total
Abbotsford,1468,1507,515,3490
Airport West,2864,1730,206,4800
Albert Park,3646,4177,2635,10458
Alphington - Fairfield,2700,2230,758,5688
Altona,4600,3009,604,8213
Altona Meadows,7905,4477,398,12780
Altona North,5657,2348,282,8287
Ardeer - Albion,3255,1259,87,4601
Armadale,2378,2605,1314,6297
Ascot Vale,4565,3532,1112,9209
Ashburton (Vic.),2531,1689,856,5076
Ashwood - Chadstone,6567,3675,962,11204
Aspendale Gardens - Waterways,2924,2228,504,5656
Bacchus Marsh,6364,3990,544,10898
Balwyn,5707,3576,1796,11079
Balwyn North,7274,4462,2071,13807
Bayswater,4409,2861,229,7499
Bayswater North,4151,2965,284,7400
Beaconsfield - Officer,2617,2076,413,5106
Beaumaris,4121,2974,1662,8757
Belgrave - Selby,3575,2545,447,6567
Bentleigh - McKinnon,7296,4910,1859,14065
Bentleigh East,9481,6180,1580,17241
Berwick - North,8043,5530,1181,14754
Berwick - South,7103,6040,916,14059
Blackburn,6905,4747,1438,13090
Blackburn South,4065,2317,577,6959
Boronia - The Basin,9601,6370,601,16572
Box Hill,7333,3691,931,11955
Box Hill North,6378,3846,1078,11302
Braeside,0,0,6,6
Braybrook,7130,2668,285,10083
Brighton (Vic.),6090,4647,3707,14444
Brighton East,4788,3412,1944,10144
Broadmeadows,5471,1186,47,6704
Brunswick,8324,6706,1484,16514
Brunswick East,2944,2648,619,6211
Brunswick West,4966,3675,695,9336
Bulleen,4591,2376,613,7580
Bundoora - East,4029,2218,246,6493
Bundoora - North,2174,1256,206,3636
Bundoora - West,2826,1304,89,4219
Bunyip - Garfield,3157,1763,228,5148
Burwood,5200,1982,535,7717
Burwood East,4742,2154,396,7292
Cairnlea,3420,1951,166,5537
Camberwell,6273,4670,2938,13881
Campbellfield - Coolaroo,7830,1462,94,9386
Carlton,6910,2822,688,10420
Carlton North - Princes Hill,2588,2673,941,6202
Carnegie,6013,4313,1104,11430
Caroline Springs,8434,6842,783,16059
Carrum - Patterson Lakes,3867,2918,610,7395
Carrum Downs,7230,4491,238,11959
Caulfield - North,6072,4999,2127,13198
Caulfield - South,5333,3953,1663,10949
Chelsea - Bonbeach,4683,3444,459,8586
Chelsea Heights,1929,1313,143,3385
Cheltenham - Highett (East),7622,5030,1004,13656
Cheltenham - Highett (West),3293,2465,825,6583
Chirnside Park,3494,2227,383,6104
Clarinda - Oakleigh South,5524,2366,260,8150
Clayton,9557,2996,298,12851
Clayton South,5689,2134,162,7985
Coburg,9797,5921,1061,16779
Coburg North,2793,1373,163,4329
Collingwood,2076,1740,538,4354
Craigieburn - Mickleham,12629,8010,517,21156
Cranbourne,7514,3765,186,11465
Cranbourne East,2816,2099,133,5048
Cranbourne North,5282,3535,206,9023
Cranbourne South,2512,1642,208,4362
Cranbourne West,3219,1835,72,5126
Croydon,11386,7381,837,19604
Croydon Hills - Warranwood,6020,4569,1148,11737
Dandenong,12464,3430,183,16077
Dandenong North,9899,3966,265,14130
Deer Park - Derrimut,8633,4765,321,13719
Delahey,3677,1540,85,5302
Dingley Village,3802,2647,448,6897
Docklands,1490,1801,924,4215
Doncaster,7868,4213,1011,13092
Doncaster East,11170,6141,1520,18831
Donvale - Park Orchards,5427,3758,1361,10546
Doveton,4919,1296,48,6263
Dromana,3780,1739,271,5790
East Melbourne,1045,1786,945,3776
Edithvale - Aspendale,4224,3094,699,8017
